#
100   736869.0528243   -129.9956   45.9396   0.87
 511452     740013.4210918  -129.9728    45.9283    1.214
ID1A  U        216.0887        216.0887       5608.3093       24020.0155
 1097692     736049.9697035  -129.9833    45.9392    1.425
AS1B  U         32.5597         32.5597       1073.9741        3568.6620
AS2B  U         32.1107         32.1107        249.1398        1078.5269
CC1B  U          1.0000          1.0000          1.0000           1.0000
EC1B  D         30.0781         30.0781        578.2613        6686.0897
EC2B  D         22.6471         22.6471        924.7495        3835.7889
EC3B  D         52.1019         52.1019       1159.0045       17599.5576
ID1B  U         35.4721         35.4721        222.0698         622.1659
 1120470     736061.6125497  -129.9809    45.9371    1.470
AS1C  U         42.8615         42.8615        533.5612        2454.0772
CC1C  U         77.6233         77.6233        213.0059         441.8203
EC1C  D         30.6168         30.6168        312.6220        5135.4539
EC2C  D         32.5887         32.5887       1142.2612        4693.5923
EC3C  D        136.6748        136.6748       1518.4501       47230.8242
ID1C  U         38.8595         38.8595        250.1301        3867.8280
 1199851     737157.3942737  -129.9837    45.9404    1.530
AS1D  U         59.6272         59.6272        269.1098        1547.9314
AS2D  U         57.6484         57.6484        222.9329         517.9065
CC1D  U          1.0000          1.0000          1.0000           1.0000
EC1D  D         75.5009         75.5009        506.6311        3956.2391
EC2D  D         71.0271         71.0271        448.3125        1703.1550
ID1D  U         60.1765         60.1765        129.9508         427.8829
 1140575     736077.7333241  -129.9817    45.9387    1.618
AS1E  U        146.5414        146.5414        891.0789         891.0789
AS2E  U         63.3304         63.3304        208.8645         324.0498
CC1E  U          1.0000          1.0000          1.0000           1.0000
EC1E  D        279.9589        279.9589        463.7252        2256.8102
EC2E  D        160.2587        160.2587        904.0567        1630.9957
EC3E  D       1730.2263       1730.2263       1549.6581       15209.3234
ID1E  U        115.2299        115.2299        189.8345         797.7542
 1053521     736019.7965148  -129.9807    45.9355    1.387
AS1F  U          1.0000          1.0000          1.0000           1.0000
AS2F  U         88.0941         88.0941       1601.9869        4063.2918
CC1F  U         61.7934         61.7934        631.8834        3804.0153
EC1F  D         61.7348         61.7348        894.6174       16433.5999
EC2F  D        759.6570        759.6570      10644.9915       16695.3411
EC3F  D       1804.5441       1804.5441      24162.4637      178839.5905
ID1F  U        444.1828        444.1828       7382.3909       18369.8613
 1134159     736072.5251916  -129.9847    45.9391    1.423
AS1G  U         37.4467         37.4467       2273.6313        5681.0985
AS2G  U         60.2175         60.2175        442.5229        1375.9590
CC1G  U          1.0000          1.0000          1.0000           1.0000
EC1G  D         40.7284         40.7284       1376.7729        7632.0288
EC2G  D         31.8235         31.8235       1552.4420        5843.3963
EC3G  D         55.8952         55.8952       2829.3343       12415.5427
ID1G  U         31.2121         31.2121        108.2096         887.3215
#
109   736779.5402838   -129.9818   45.9401   1.54
 512325     740019.2958958  -129.9794    45.9426    1.605
AS1A  U         69.5803         69.5803       6765.0430       13786.4494
AS2A  U         63.4481         63.4481         51.5893        4517.7767
CC1A  U         91.7572         91.7572       5009.9592       10815.3800
EC1A  D         51.9719         51.9719      16157.4097       21772.4499
EC2A  D         48.4638         48.4638      10999.1976       35440.4565
EC3A  D        106.7301        106.7301       5662.6241       52443.5278
ID1A  U         76.4136         76.4136        858.0765        3371.9399
 1199851     737157.3942737  -129.9837    45.9404    1.530
AS1B  U         59.6272         59.6272        269.1098        1547.9314
AS2B  U         57.6484         57.6484        222.9329         517.9065
CC1B  U          1.0000          1.0000          1.0000           1.0000
EC1B  D         75.5009         75.5009        506.6311        3956.2391
EC2B  D         71.0271         71.0271        448.3125        1703.1550
ID1B  U         60.1765         60.1765        129.9508         427.8829
