EC3E OO  EHZ I D
ID1E OO  EHZ I D
AS1F OO  EHZ I D
CC1F OO  HHZ I D
EC1F OO  EHZ I D
EC2F OO  HHZ I U
EC3F OO  EHZ I D
ID1F OO  EHZ I D
AS1G OO  EHZ I D
AS2G OO  EHZ I D
CC1G OO  HHZ I D
EC1G OO  EHZ I D
EC2G OO  HHZ I U
EC3G OO  EHZ I D
                                                                    110 
2018 328103526.1145N56.98129W59.53 0.77  0.30  0.20 1.00            111 
AS1A OO  EHZ I U
AS2A OO  EHZ I D
CC1A OO  HHZ I U
EC1A OO  EHZ I D
EC2A OO  HHZ I U
EC3A OO  EHZ I U
ID1A OO  EHZ I D
AS1B OO  EHZ I U
AS2B OO  EHZ I D
CC1B OO  HHZ I U
EC1B OO  EHZ I D
EC2B OO  HHZ I U
EC3B OO  EHZ I U
AS1C OO  EHZ I U
AS2C OO  EHZ I D
CC1C OO  HHZ I U
EC1C OO  EHZ I D
EC2C OO  HHZ I U
EC3C OO  EHZ I U
AS1D OO  EHZ I U
CC1D OO  HHZ I U
EC1D OO  EHZ I D
EC2D OO  HHZ I U
EC3D OO  EHZ I U
ID1D OO  EHZ I D
AS1E OO  EHZ I U
AS2E OO  EHZ I D
CC1E OO  HHZ I U
EC1E OO  EHZ I D
EC2E OO  HHZ I U
ID1E OO  EHZ I D
AS2F OO  EHZ I D
CC1F OO  HHZ I U
EC1F OO  EHZ I D
EC2F OO  HHZ I U
EC3F OO  EHZ I U
ID1F OO  EHZ I D
AS1G OO  EHZ I U
AS2G OO  EHZ I D
CC1G OO  HHZ I U
EC1G OO  EHZ I D
EC2G OO  HHZ I U
EC3G OO  EHZ I U
                                                                    111 
2017 314174938.2145N56.38129W58.86 1.55  0.30  0.20 1.00            112 
AS1A OO  EHZ I U
AS2A OO  EHZ I U
CC1A OO  HHZ I U
EC1A OO  EHZ I D
EC2A OO  HHZ I D
EC3A OO  EHZ I U
ID1A OO  EHZ I U
AS1B OO  EHZ I U
AS2B OO  EHZ I U
CC1B OO  HHZ I U
EC1B OO  EHZ I D
EC2B OO  HHZ I D
ID1B OO  EHZ I U
AS1C OO  EHZ I U
CC1C OO  HHZ I U
EC1C OO  EHZ I D
EC2C OO  HHZ I D
EC3C OO  EHZ I U
ID1C OO  EHZ I U
AS1D OO  EHZ I U
AS2D OO  EHZ I U
CC1D OO  HHZ I U
EC1D OO  EHZ I D
EC2D OO  HHZ I D
EC3D OO  EHZ I U
AS1E OO  EHZ I U
AS2E OO  EHZ I U
CC1E OO  HHZ I U
EC1E OO  EHZ I D
EC2E OO  HHZ I D
ID1E OO  EHZ I U
AS1F OO  EHZ I U
AS2F OO  EHZ I U
CC1F OO  HHZ I U
EC1F OO  EHZ I D
EC2F OO  HHZ I D
EC3F OO  EHZ I U
ID1F OO  EHZ I U
