ID1C   168.5   72.3 -1 -1    0.00    0.00
AS1D   212.9   64.2  1  1    0.00    0.00
AS2D   233.2   74.2 -1 -1    0.00    0.00
CC1D   288.8   62.9  1  1    0.00    0.00
EC1D    80.8   17.5 -1 -1    0.00    0.00
EC2D   140.6   49.6 -1 -1    0.00    0.00
EC3D   161.2   53.9 -1 -1    0.00    0.00
AS1E   212.9   64.2  1  1    0.00    0.00
AS2E   233.2   74.2 -1 -1    0.00    0.00
CC1E   288.8   62.9  1  1    0.00    0.00
EC1E    80.8   17.5 -1 -1    0.00    0.00
EC2E   140.6   49.6 -1 -1    0.00    0.00
EC3E   161.2   53.9 -1 -1    0.00    0.00
ID1E   168.5   72.3 -1 -1    0.00    0.00
AS1F   212.9   64.2  1  1    0.00    0.00
AS2F   233.2   74.2 -1 -1    0.00    0.00
CC1F   288.8   62.9  1  1    0.00    0.00
EC1F    80.8   17.5 -1 -1    0.00    0.00
EC2F   140.6   49.6 -1 -1    0.00    0.00
EC3F   161.2   53.9 -1 -1    0.00    0.00
ID1F   168.5   72.3 -1 -1    0.00    0.00
AS1G   212.9   64.2  1  1    0.00    0.00
AS2G   233.2   74.2 -1 -1    0.00    0.00
CC1G   288.8   62.9  1  1    0.00    0.00
EC1G    80.8   17.5 -1 -1    0.00    0.00
EC2G   140.6   49.6 -1 -1    0.00    0.00
EC3G   161.2   53.9 -1 -1    0.00    0.00
ID1G   168.5   72.3 -1 -1    0.00    0.00
             107  45  45   0 1
AS1A   207.0   60.4  1  1    0.00    0.00
AS2A   238.4   79.2  1  1    0.00    0.00
CC1A   314.7   76.1  1  1    0.00    0.00
EC1A    53.5   60.4 -1 -1    0.00    0.00
EC2A   105.3   68.2  1  1    0.00    0.00
EC3A   126.7   64.0 -1 -1    0.00    0.00
ID1A   150.5   83.0  1  1    0.00    0.00
AS1B   207.0   60.4  1  1    0.00    0.00
AS2B   238.4   79.2  1  1    0.00    0.00
CC1B   314.7   76.1  1  1    0.00    0.00
EC1B    53.5   60.4 -1 -1    0.00    0.00
EC2B   105.3   68.2  1  1    0.00    0.00
EC3B   126.7   64.0 -1 -1    0.00    0.00
AS2C   238.4   79.2  1  1    0.00    0.00
CC1C   314.7   76.1  1  1    0.00    0.00
EC1C    53.5   60.4 -1 -1    0.00    0.00
EC2C   105.3   68.2  1  1    0.00    0.00
EC3C   126.7   64.0 -1 -1    0.00    0.00
ID1C   150.5   83.0  1  1    0.00    0.00
AS1D   207.0   60.4  1  1    0.00    0.00
AS2D   238.4   79.2  1  1    0.00    0.00
CC1D   314.7   76.1  1  1    0.00    0.00
EC1D    53.5   60.4 -1 -1    0.00    0.00
EC2D   105.3   68.2  1  1    0.00    0.00
EC3D   126.7   64.0 -1 -1    0.00    0.00
ID1D   150.5   83.0  1  1    0.00    0.00
AS1E   207.0   60.4  1  1    0.00    0.00
AS2E   238.4   79.2  1  1    0.00    0.00
CC1E   314.7   76.1  1  1    0.00    0.00
EC1E    53.5   60.4 -1 -1    0.00    0.00
EC3E   126.7   64.0 -1 -1    0.00    0.00
ID1E   150.5   83.0  1  1    0.00    0.00
AS1F   207.0   60.4  1  1    0.00    0.00
AS2F   238.4   79.2  1  1    0.00    0.00
CC1F   314.7   76.1  1  1    0.00    0.00
EC1F    53.5   60.4 -1 -1    0.00    0.00
EC2F   105.3   68.2  1  1    0.00    0.00
EC3F   126.7   64.0 -1 -1    0.00    0.00
ID1F   150.5   83.0  1  1    0.00    0.00
AS1G   207.0   60.4  1  1    0.00    0.00
AS2G   238.4   79.2  1  1    0.00    0.00
CC1G   314.7   76.1  1  1    0.00    0.00
EC1G    53.5   60.4 -1 -1    0.00    0.00
EC2G   105.3   68.2  1  1    0.00    0.00
EC3G   126.7   64.0 -1 -1    0.00    0.00
             108  47  47   0 1
AS1A   245.3   55.9  1  1    0.00    0.00
AS2A   256.7   74.5  1  1    0.00    0.00
CC1A   310.1   76.4  1  1    0.00    0.00
EC1A     9.2   48.9 -1 -1    0.00    0.00
EC2A    83.4   29.8 -1 -1    0.00    0.00
EC3A   139.0   20.4 -1 -1    0.00    0.00
ID1A   167.7   57.3  1  1    0.00    0.00
AS1B   245.3   55.9  1  1    0.00    0.00
AS2B   256.7   74.5  1  1    0.00    0.00
CC1B   310.1   76.4  1  1    0.00    0.00
EC1B     9.2   48.9 -1 -1    0.00    0.00
EC2B    83.4   29.8 -1 -1    0.00    0.00
EC3B   139.0   20.4 -1 -1    0.00    0.00
ID1B   167.7   57.3  1  1    0.00    0.00
AS1C   245.3   55.9  1  1    0.00    0.00
CC1C   310.1   76.4  1  1    0.00    0.00
EC1C     9.2   48.9 -1 -1    0.00    0.00
EC2C    83.4   29.8 -1 -1    0.00    0.00
EC3C   139.0   20.4 -1 -1    0.00    0.00
ID1C   167.7   57.3  1  1    0.00    0.00
AS1D   245.3   55.9  1  1    0.00    0.00
AS2D   256.7   74.5  1  1    0.00    0.00
CC1D   310.1   76.4  1  1    0.00    0.00
EC1D     9.2   48.9 -1 -1    0.00    0.00
EC2D    83.4   29.8 -1 -1    0.00    0.00
ID1D   167.7   57.3  1  1    0.00    0.00
AS1E   245.3   55.9  1  1    0.00    0.00
AS2E   256.7   74.5  1  1    0.00    0.00
CC1E   310.1   76.4  1  1    0.00    0.00
EC1E     9.2   48.9 -1 -1    0.00    0.00
EC2E    83.4   29.8 -1 -1    0.00    0.00
EC3E   139.0   20.4 -1 -1    0.00    0.00
ID1E   167.7   57.3  1  1    0.00    0.00
AS1F   245.3   55.9  1  1    0.00    0.00
AS2F   256.7   74.5  1  1    0.00    0.00
CC1F   310.1   76.4  1  1    0.00    0.00
EC1F     9.2   48.9 -1 -1    0.00    0.00
EC2F    83.4   29.8 -1 -1    0.00    0.00
EC3F   139.0   20.4 -1 -1    0.00    0.00
ID1F   167.7   57.3  1  1    0.00    0.00
AS1G   245.3   55.9  1  1    0.00    0.00
AS2G   256.7   74.5  1  1    0.00    0.00
CC1G   310.1   76.4  1  1    0.00    0.00
EC1G     9.2   48.9 -1 -1    0.00    0.00
EC2G    83.4   29.8 -1 -1    0.00    0.00
EC3G   139.0   20.4 -1 -1    0.00    0.00
ID1G   167.7   57.3  1  1    0.00    0.00
             109  47  47   0 1
AS1A   241.3   56.2  1  1    0.00    0.00
AS2A   254.1   73.7  1  1    0.00    0.00
CC1A   307.6   74.2  1  1    0.00    0.00
EC1A     8.9   43.3 -1 -1    0.00    0.00
EC2A    95.1   27.6 -1 -1    0.00    0.00
EC3A   150.6   23.5 -1 -1    0.00    0.00
ID1A   169.5   58.5  1  1    0.00    0.00
AS1B   241.3   56.2  1  1    0.00    0.00
AS2B   254.1   73.7  1  1    0.00    0.00
CC1B   307.6   74.2  1  1    0.00    0.00
EC1B     8.9   43.3 -1 -1    0.00    0.00
EC2B    95.1   27.6 -1 -1    0.00    0.00
ID1B   169.5   58.5  1  1    0.00    0.00
AS1C   241.3   56.2  1  1    0.00    0.00
AS2C   254.1   73.7  1  1    0.00    0.00
CC1C   307.6   74.2  1  1    0.00    0.00
EC1C     8.9   43.3 -1 -1    0.00    0.00
EC2C    95.1   27.6 -1 -1    0.00    0.00
EC3C   150.6   23.5 -1 -1    0.00    0.00
ID1C   169.5   58.5  1  1    0.00    0.00
AS1D   241.3   56.2  1  1    0.00    0.00
AS2D   254.1   73.7  1  1    0.00    0.00
CC1D   307.6   74.2  1  1    0.00    0.00
EC1D     8.9   43.3 -1 -1    0.00    0.00
EC2D    95.1   27.6 -1 -1    0.00    0.00
EC3D   150.6   23.5 -1 -1    0.00    0.00
ID1D   169.5   58.5  1  1    0.00    0.00
AS1E   241.3   56.2  1  1    0.00    0.00
AS2E   254.1   73.7  1  1    0.00    0.00
CC1E   307.6   74.2  1  1    0.00    0.00
EC1E     8.9   43.3 -1 -1    0.00    0.00
EC2E    95.1   27.6 -1 -1    0.00    0.00
EC3E   150.6   23.5 -1 -1    0.00    0.00
ID1E   169.5   58.5  1  1    0.00    0.00
AS1F   241.3   56.2  1  1    0.00    0.00
AS2F   254.1   73.7  1  1    0.00    0.00
CC1F   307.6   74.2  1  1    0.00    0.00
EC1F     8.9   43.3 -1 -1    0.00    0.00
EC2F    95.1   27.6 -1 -1    0.00    0.00
EC3F   150.6   23.5 -1 -1    0.00    0.00
ID1F   169.5   58.5  1  1    0.00    0.00
AS1G   241.3   56.2  1  1    0.00    0.00
AS2G   254.1   73.7  1  1    0.00    0.00
EC1G     8.9   43.3 -1 -1    0.00    0.00
EC2G    95.1   27.6 -1 -1    0.00    0.00
EC3G   150.6   23.5 -1 -1    0.00    0.00
ID1G   169.5   58.5  1  1    0.00    0.00
             112  44  44   0 1
AS1A   244.2   56.6  1  1    0.00    0.00
AS2A   255.6   73.8  1  1    0.00    0.00
CC1A   307.7   74.7  1  1    0.00    0.00
EC1A     5.2   44.5 -1 -1    0.00    0.00
